incident_id,supplier_id,warehouse_location,region,incident_type,product_category,shipment_status,severity,inventory_level,delivery_delay,transportation_cost,order_quantity,demand_forecast,resolution_time_days,timestamp,incident_description
INC00388,S015,"Philadelphia, PA",Northeast,Port Congestion,Raw Materials,On-Time,critical,9.43,23.03,1344.72,327,295,44,2024-01-01,"Labor strike at Philadelphia, PA port operations causing significant 23-day shipping delays."
INC00262,S006,"Chicago, IL",Midwest,Weather Disruption,Pharmaceuticals,Critical Delay,critical,370.07,1.0,857.64,128,121,1,2024-01-05,"Hurricane warning at Chicago, IL port resulting in 1-day suspension of loading operations."
INC00200,S008,"New York, NY",Northeast,Transportation Issue,Consumer Goods,Delayed,high,111.48,7.29,1228.62,10,11,16,2024-01-06,"Fuel price spike increasing transportation costs by 8.5% for New York, NY region shipments."
INC00443,S018,"San Antonio, TX",South,Demand Spike,Consumer Goods,In-Transit,medium,220.86,5.08,1359.59,237,243,6,2024-01-08,"Unexpected Consumer Goods demand increase at San Antonio, TX region — 243 units ordered vs 220 in stock."
INC00480,S005,"Phoenix, AZ",Southwest,Supplier Delay,Electronics,In-Transit,medium,205.71,2.39,1772.51,157,190,4,2024-01-09,Supplier S005 experiencing raw material shortage resulting in 2-day shipment delay for Electronics components.
INC00267,S006,"Dallas, TX",South,Stockout Risk,Raw Materials,Delayed,critical,14.22,5.1,1530.32,213,271,11,2024-01-10,"Demand surge exceeding supply at Dallas, TX — Raw Materials inventory at 14 units vs 271 forecasted demand."
INC00372,S004,"San Antonio, TX",South,Customs Delay,Pharmaceuticals,On-Time,low,520.82,1.0,1210.16,211,185,2,2024-01-10,Trade compliance review triggered for Pharmaceuticals shipment from S004 — 1-day estimated hold.
INC00511,S011,"Philadelphia, PA",Northeast,Weather Disruption,Pharmaceuticals,Delayed,critical,209.53,14.46,1975.9,198,153,33,2024-01-12,"Hurricane warning at Philadelphia, PA port resulting in 14-day suspension of loading operations."
INC00207,S008,"New York, NY",Northeast,Demand Spike,Pharmaceuticals,Critical Delay,critical,103.16,20.24,2290.44,215,218,43,2024-01-12,"Flash sale event triggering 15.6% above-forecast demand for Pharmaceuticals — inventory risk at New York, NY."
INC00011,S014,"San Jose, CA",West,Port Congestion,Pharmaceuticals,Delivered,critical,529.37,16.2,1706.17,58,46,37,2024-01-12,"Customs inspection backlog at San Jose, CA customs facility delaying Pharmaceuticals clearance by 16 days."
INC00158,S012,"Los Angeles, CA",West,Supplier Delay,Pharmaceuticals,On-Time,high,395.28,8.21,2271.76,284,367,12,2024-01-17,Quality control issues at S012 facility halted production for 8 days pending inspection.
INC00184,S008,"Chicago, IL",Midwest,Quality Issue,Food & Beverage,Delayed,critical,287.86,47.68,684.09,259,296,76,2024-01-24,Material specification deviation in S008 Food & Beverage delivery requiring re-inspection and approval.
INC00559,S007,"Dallas, TX",South,Demand Spike,Medical Supplies,In-Transit,critical,46.7,0.66,2672.49,159,186,1,2024-01-26,"Seasonal demand surge for Medical Supplies exceeding forecast by 37.0% at Dallas, TX fulfillment center."
INC00409,S008,"New York, NY",Northeast,Quality Issue,Pharmaceuticals,Delivered,critical,24.25,2.62,1094.89,188,177,5,2024-01-26,Material specification deviation in S008 Pharmaceuticals delivery requiring re-inspection and approval.
INC00565,S010,"San Jose, CA",West,Transportation Issue,Medical Supplies,Critical Delay,critical,255.02,3.89,1590.67,261,291,4,2024-01-30,"Carrier capacity constraints impacting shipments from S010 to San Jose, CA — 3-day estimated delay."
